0.24,0.17,0.23,0.21,0.21,0.21,0.20,0.26,0.23,0.24,0.24,0.21,0.26,0.25,0.27,0.29,0.21,0.32,0.18,0.38,0.00,0.00,0.24,0.32,0.26,0.37,0.27,0.45,0.24,0.17,0.00,0.00,0.23,0.17,0.00,0.00,0
0.41,0.13,0.42,0.19,0.43,0.19,0.46,0.23,0.46,0.26,0.41,0.17,0.38,0.20,0.38,0.15,0.43,0.29,0.43,0.37,0.45,0.44,0.40,0.29,0.40,0.38,0.41,0.47,0.00,0.00,0.41,0.13,0.00,0.00,0.42,0.14,0
0.24,0.17,0.21,0.20,0.20,0.20,0.20,0.24,0.22,0.23,0.23,0.21,0.24,0.25,0.25,0.27,0.20,0.32,0.17,0.37,0.00,0.00,0.23,0.32,0.24,0.37,0.27,0.45,0.23,0.16,0.00,0.00,0.22,0.16,0.00,0.00,0
0.23,0.17,0.21,0.20,0.19,0.20,0.19,0.24,0.21,0.22,0.23,0.20,0.24,0.25,0.24,0.27,0.19,0.31,0.15,0.38,0.00,0.00,0.21,0.31,0.24,0.37,0.27,0.45,0.23,0.16,0.00,0.00,0.21,0.16,0.00,0.00,0
0.40,0.13,0.41,0.16,0.43,0.17,0.45,0.22,0.43,0.24,0.40,0.16,0.38,0.20,0.35,0.23,0.41,0.27,0.39,0.35,0.39,0.42,0.38,0.26,0.37,0.34,0.38,0.41,0.00,0.00,0.40,0.12,0.00,0.00,0.41,0.13,0
0.21,0.17,0.19,0.20,0.17,0.20,0.18,0.24,0.20,0.22,0.21,0.20,0.22,0.25,0.23,0.27,0.17,0.31,0.14,0.39,0.00,0.00,0.20,0.32,0.23,0.36,0.24,0.45,0.21,0.16,0.00,0.00,0.20,0.16,0.00,0.00,0
0.38,0.13,0.40,0.17,0.42,0.17,0.43,0.23,0.00,0.00,0.38,0.17,0.36,0.23,0.34,0.27,0.40,0.28,0.37,0.37,0.35,0.45,0.37,0.27,0.33,0.31,0.33,0.34,0.00,0.00,0.38,0.13,0.00,0.00,0.40,0.13,1
0.20,0.17,0.18,0.21,0.16,0.21,0.17,0.25,0.19,0.23,0.20,0.21,0.20,0.26,0.21,0.28,0.17,0.32,0.14,0.37,0.12,0.41,0.19,0.32,0.21,0.37,0.20,0.45,0.20,0.17,0.00,0.00,0.18,0.17,0.00,0.00,1
0.37,0.15,0.39,0.20,0.40,0.20,0.00,0.00,0.00,0.00,0.37,0.20,0.35,0.23,0.34,0.26,0.38,0.31,0.36,0.38,0.34,0.46,0.37,0.29,0.35,0.38,0.34,0.45,0.00,0.00,0.37,0.14,0.00,0.00,0.38,0.15,1
0.19,0.19,0.17,0.22,0.15,0.22,0.15,0.26,0.18,0.24,0.18,0.22,0.20,0.26,0.20,0.28,0.15,0.33,0.13,0.36,0.11,0.42,0.18,0.32,0.20,0.38,0.19,0.45,0.18,0.19,0.00,0.00,0.17,0.19,0.00,0.00,1
0.18,0.19,0.17,0.22,0.15,0.22,0.15,0.26,0.18,0.25,0.18,0.22,0.20,0.25,0.20,0.27,0.15,0.33,0.12,0.39,0.11,0.42,0.18,0.33,0.19,0.39,0.18,0.45,0.18,0.19,0.00,0.00,0.17,0.19,0.00,0.00,1
0.36,0.15,0.37,0.20,0.39,0.20,0.00,0.00,0.00,0.00,0.36,0.20,0.34,0.25,0.31,0.29,0.37,0.31,0.35,0.38,0.34,0.46,0.35,0.29,0.29,0.27,0.25,0.28,0.00,0.00,0.36,0.15,0.00,0.00,0.37,0.15,1
0.18,0.19,0.16,0.22,0.14,0.22,0.13,0.26,0.13,0.29,0.18,0.21,0.19,0.24,0.20,0.26,0.15,0.33,0.12,0.39,0.11,0.42,0.17,0.33,0.18,0.41,0.00,0.00,0.17,0.17,0.18,0.17,0.16,0.19,0.00,0.00,1
